fountaintype,position,propname,borough,fountaincount,district,point
D,"Near Ballfield, Out in Open",Ferry  Park,X,1,"D, Near Ballfield, Out in Open"," (-73.82599270248146,40.82066160876089)"
B,"Under Tree, Out in Open",Riverside Park,M,1,"B, Under Tree, Out in Open"," (-73.96692231859777,40.80990245363012)"
E,Out in Open,Callahan-Kelly Playground,B,1,"E, Out in Open"," (-73.90464777894051,40.67812448382062)"
A,,Great Kills Veterans Playground,R,1,"A,"," (-74.1517896398447,40.54723672581469)"
Indoor Drinking Fountain,Indoor,Thomas Jefferson Park,M,1,"Indoor Drinking Fountain, Indoor"," (-73.93678012062354,40.79364205378934)"
Pedestal,Out in Open,Wards Island Park,M,1,"Pedestal, Out in Open"," (-73.9307253516576,40.78299762695322)"
A,Under Tree,Flushing Meadows Corona Park,Q,1,"A, Under Tree"," (-73.83982731919154,40.74452973881233)"
C,"Out in Open, In Playground",Kissena Park,Q,1,"C, Out in Open, In Playground"," (-73.80840666300054,40.7423116108472)"
A,Under Tree,Silver Lake Park,R,1,"A, Under Tree"," (-74.09917451098038,40.62815004060545)"
E,"Under Tree, Out in Open",Central Park,M,1,"E, Under Tree, Out in Open"," (-73.96180450138817,40.788759227306315)"
A,"Near Ballfield, Out in Open",Lindower Park,B,1,"A, Near Ballfield, Out in Open"," (-73.91236649736705,40.611619890288864)"
C,In Playground,Ruppert Park,M,1,"C, In Playground"," (-73.95012889166465,40.7809825664957)"
Indoor Drinking Fountain,Indoor,Central Park,M,1,"Indoor Drinking Fountain, Indoor"," (-73.96189193226948,40.789427521488456)"
F,Just Outside Playground,Hilltop Playground,B,1,"F, Just Outside Playground"," (-73.91426282534998,40.67541522676695)"
C,In Playground,Harding Park,X,1,"C, In Playground"," (-73.85687402338236,40.81017377912868)"
E,"Near Ballfield, Just Outside Playground",John V. Lindsay East River Park,M,1,"E, Near Ballfield, Just Outside Playground"," (-73.9760954995062,40.71291484761398)"
C,Near Ballfield,Vito Locascio Field,Q,1,"C, Near Ballfield"," (-73.84300023012058,40.670185432513556)"
Indoor Drinking Fountain,Indoor,Bronx Park,X,1,"Indoor Drinking Fountain, Indoor"," (-73.87039306855597,40.84714198381656)"
E and Dog,"Out in Open, Just Outside Playground",Prospect Park,B,2,"E and Dog, Out in Open, Just Outside Playground"," (-73.97264025669674,40.65468440108362)"
A,Near Ballfield,Clove Lakes Park,R,1,"A, Near Ballfield"," (-74.1069794836148,40.61815259575805)"
E,Out in Open,Manhattan Beach Park,B,1,"E, Out in Open"," (-73.94542586730039,40.576561530975624)"
C,Near Ballfield,Southern Fields,Q,1,"C, Near Ballfield"," (-73.82448671033879,40.66554184460497)"
C,"In Playground, Out in Open",Canarsie Park,B,1,"C, In Playground, Out in Open"," (-73.89950284102038,40.627027485832286)"
Indoor Drinking Fountain,Indoor,East River Playground,M,1,"Indoor Drinking Fountain, Indoor"," (-73.93788973183803,40.789183653606564)"
Indoor Drinking Fountain,Indoor,Asser Levy Playground,M,1,"Indoor Drinking Fountain, Indoor"," (-73.97566803147168,40.736143704400355)"
A,Near Ballfield,Shore Park and Parkway,B,1,"A, Near Ballfield"," (-74.04060722373333,40.62817751512405)"
E,In Playground,Alfred E. Smith Playground,M,1,"E, In Playground"," (-73.99737969827046,40.71109693533685)"
Trough,,Hunter's  South Park,Q,1,"Trough,"," (-73.96115435835338,40.738499073169635)"
A,"Near Ballfield, Out in Open",Sutter Ballfields,B,1,"A, Near Ballfield, Out in Open"," (-73.88732231975175,40.6715581067312)"
D,Out in Open,Murray Playground,Q,1,"D, Out in Open"," (-73.94881289816209,40.747368494548205)"
D,Just Outside Playground,Jerome Playground,B,1,"D, Just Outside Playground"," (-73.87948843615129,40.65884713906849)"
A,Under Tree,Almeda Playground,Q,1,"A, Under Tree"," (-73.7945012718252,40.593304194314754)"
CS Concrete,In Playground,Galapo Playground,B,1,"CS Concrete, In Playground"," (-73.94666789285907,40.59788153086628)"
D,"Near Ballfield, Just Outside Playground",De Witt Clinton Park,M,1,"D, Near Ballfield, Just Outside Playground"," (-73.99459155659433,40.767991329461466)"
E,Out in Open,Juniper Valley Park,Q,1,"E, Out in Open"," (-73.88317071009199,40.719826347964606)"
D,Just Outside Playground,Springfield Park,Q,1,"D, Just Outside Playground"," (-73.7624766606916,40.660059769718714)"
C,Out in Open,Jennifer's Playground,R,1,"C, Out in Open"," (-74.16305725132673,40.61978216155912)"
D,Near Ballfield,Ocean Hill Playground,B,1,"D, Near Ballfield"," (-73.912351061468,40.674151887779644)"
CS Metal,"In Playground, In Shade, Near Ballfield",Noble Playground,X,1,"CS Metal, In Playground, In Shade, Near Ballfield"," (-73.87185006485875,40.83686403090539)"
Indoor Drinking Fountain,Indoor,Bushwick Playground,B,1,"Indoor Drinking Fountain, Indoor"," (-73.93937731042833,40.70186791759717)"
E,Out in Open,Coney Island Beach & Boardwalk,B,1,"E, Out in Open"," (-73.95854563991202,40.57528790487286)"
CS Metal,,Lyons Square Playground,X,1,"CS Metal,"," (-73.88830443733484,40.8226326187661)"
B,"Under Tree, In Playground",Marcus Garvey Park,M,1,"B, Under Tree, In Playground"," (-73.94220192581601,40.805275304174664)"
C,"In Playground, Out in Open",Brizzi Playground,B,1,"C, In Playground, Out in Open"," (-73.99462928481489,40.642316045973615)"
C,Near Ballfield,St. Michael's Playground,Q,1,"C, Near Ballfield"," (-73.8997520229687,40.75884257080118)"
Indoor Drinking Fountain,Indoor,Forest Park,Q,1,"Indoor Drinking Fountain, Indoor"," (-73.85859782385609,40.700871898487314)"
Bottle Filler Fountain,,Newtown Barge Playground,B,2,"Bottle Filler Fountain,"," (-73.95983144568241,40.736037885741915)"
A,In Playground,Playground Eighty LXXX,Q,1,"A, In Playground"," (-73.7095305313977,40.74507266753568)"
Bottle Filler High Low,,Frank Principe Park,Q,3,"Bottle Filler High Low,"," (-73.9057773674599,40.72816376142096)"
A,Out in Open,Wingate Park,B,1,"A, Out in Open"," (-73.944345649946,40.658987333565065)"
E High Low,,Prospect Park,B,2,"E High Low,"," (-73.96339296751353,40.65548815176468)"
A,In Playground,Dimattina Playground,B,1,"A, In Playground"," (-74.00191512075033,40.680487100937945)"
Bottle Filler,Just Outside Playground,Astoria Heights Playground,Q,1,"Bottle Filler, Just Outside Playground"," (-73.91155625599275,40.760158604652254)"
C,Out in Open,Pelham Bay Park,X,1,"C, Out in Open"," (-73.79414571472942,40.866412218777235)"
E,Out in Open,Walt Whitman Park,B,1,"E, Out in Open"," (-73.98936667170479,40.69788778297702)"
C,"Under Tree, In Playground",First Park,M,1,"C, Under Tree, In Playground"," (-73.98896293521598,40.72325386316271)"
D,"In Playground, Under Tree, Out in Open",Flushing Fields,Q,1,"D, In Playground, Under Tree, Out in Open"," (-73.81716384870273,40.77616525281758)"
CS Metal,In Playground,Lanett Playground,Q,1,"CS Metal, In Playground"," (-73.74391578654551,40.599360101620555)"
A,In Playground,Flushing Meadows Corona Park,Q,1,"A, In Playground"," (-73.82728000851903,40.723194423605875)"
Bottle Filler Wall,Out_in_Open,Juniper Valley Park,Q,1,"Bottle Filler Wall, Out_in_Open"," (-73.88448747391297,40.71864439128204)"
Indoor Drinking Fountain,Indoor,Flushing Meadows Corona Park,Q,1,"Indoor Drinking Fountain, Indoor"," (-73.8434487413005,40.7514983979315)"
A,"Under Tree, Near Ballfield",Kissena Park,Q,1,"A, Under Tree, Near Ballfield"," (-73.80440121400913,40.747641459988614)"
A,Under Tree,Vincent F. Albano Jr. Playground,M,1,"A, Under Tree"," (-73.97861687348718,40.741959888005866)"
C,"Out in Open, In Playground",Paerdegat Park,B,1,"C, Out in Open, In Playground"," (-73.93791388721887,40.63855012701618)"
E,"Under Tree, In Shade, Out in Open",Calvert Vaux Park,B,1,"E, Under Tree, In Shade, Out in Open"," (-73.99261414286042,40.58705811396037)"
C,Under Tree,St. John's Park,B,1,"C, Under Tree"," (-73.93427141695136,40.674073628778686)"
D,,Vidalia Park,X,1,"D,"," (-73.88195753353682,40.84366696373383)"
D,In Playground,Astoria Park,Q,1,"D, In Playground"," (-73.92453167438173,40.77532812858491)"
Indoor Drinking Fountain,Indoor,Dyker Beach Park,B,1,"Indoor Drinking Fountain, Indoor"," (-74.02047191213566,40.61692901264854)"
E,Out in Open,Central Park,M,1,"E, Out in Open"," (-73.95259535821012,40.794236765835294)"
E,Near Ballfield,Spring Creek Park,B,1,"E, Near Ballfield"," (-73.87299851982245,40.64898242392053)"
D,"Near Ballfield, Out in Open",Beach 30th Street Playground,Q,1,"D, Near Ballfield, Out in Open"," (-73.76322173517067,40.592196266816586)"
F High Low,"Out in Open, Just Outside Playground",Glenwood Playground,B,2,"F High Low, Out in Open, Just Outside Playground"," (-73.91943426036589,40.63689409146384)"
D,"Out in Open, Near Ballfield",College  Fields,Q,1,"D, Out in Open, Near Ballfield"," (-73.83810694088092,40.77723144467799)"
B,Out in Open,Prospect Park,B,1,"B, Out in Open"," (-73.96444483341175,40.659894787889506)"
A,Near Ballfield,Wolfe's Pond Park,R,1,"A, Near Ballfield"," (-74.18646759544787,40.51934066754029)"
A,"Under Tree, Near Ballfield, Just Outside Playground",Poor Richard's Playground,M,1,"A, Under Tree, Near Ballfield, Just Outside Playground"," (-73.94254196745216,40.792675904833864)"
Indoor Drinking Fountain,Indoor,Prospect Park,B,1,"Indoor Drinking Fountain, Indoor"," (-73.96546888381246,40.66536474390884)"
C,"Under Tree, In Playground, Out in Open",Pratt Playground,B,1,"C, Under Tree, In Playground, Out in Open"," (-73.96267914214,40.69248913901609)"
A,In Shade,Christopher J. Igneri Playground,R,1,"A, In Shade"," (-74.11942865033983,40.6087318058916)"
D,In Playground,Park Slope Playground,B,1,"D, In Playground"," (-73.97853356694365,40.67676928538514)"
Other,,Red Hook Recreation Area,B,1,"Other,"," (-74.00780858686907,40.67148883615824)"
A,"Under Tree, In Playground",McCarren Park,B,1,"A, Under Tree, In Playground"," (-73.9501102546543,40.72093310269889)"
Trough,,Aqueduct Walk,X,1,"Trough,"," (-73.90803489034158,40.85836077358494)"
C,"Under Tree, In Playground, Out in Open",Marine Park,B,1,"C, Under Tree, In Playground, Out in Open"," (-73.93817870052592,40.60750773821816)"
Indoor Drinking Fountain,Indoor,McCarren Park,B,1,"Indoor Drinking Fountain, Indoor"," (-73.94992997567486,40.7200816932747)"
Indoor Drinking Fountain,Indoor,Flushing Meadows Corona Park,Q,1,"Indoor Drinking Fountain, Indoor"," (-73.83377790153129,40.751409211946985)"
E,Under Tree,Fort Independence Playground,X,1,"E, Under Tree"," (-73.89489022050692,40.88201572448636)"
CS Metal,On wall,Sheltering Arms Playground,M,1,"CS Metal, On wall"," (-73.95568223339492,40.815156413573774)"
Indoor Drinking Fountain,Indoor,Central Park,M,1,"Indoor Drinking Fountain, Indoor"," (-73.95273413330378,40.794185912152216)"
Bottle Filler High Low,,Faber Pool and Park,R,0,"Bottle Filler High Low,"," (-74.13567932663526,40.64072184951753)"
C,Near Ballfield,Hinton Park,Q,1,"C, Near Ballfield"," (-73.85482947753904,40.755488059978845)"
D,In Playground,Flushing Meadows Corona Park,Q,1,"D, In Playground"," (-73.84905246513785,40.74074949569279)"
Other,,Albemarle Playground,B,1,"Other,"," (-73.98053150011272,40.64576132776191)"
C,"Out in Open, Near Ballfield",Green Central Knoll,B,1,"C, Out in Open, Near Ballfield"," (-73.93303631157923,40.701116090157846)"
C,In Playground,Franklin D. Roosevelt Boardwalk and Beach,R,1,"C, In Playground"," (-74.0673940294702,40.58844174027429)"
Indoor Drinking Fountain,Indoor,Julio Carballo Fields,X,1,"Indoor Drinking Fountain, Indoor"," (-73.88923835019379,40.81495876160249)"
D,"In Playground, Under Tree",Central Park,M,1,"D, In Playground, Under Tree"," (-73.95429444063595,40.790588824545424)"
D,"Under Tree, In Shade, Just Outside Playground",Penn Triangle,B,1,"D, Under Tree, In Shade, Just Outside Playground"," (-73.9608893755546,40.70067785101002)"
C,Near Ballfield,Van Cortlandt Park,X,1,"C, Near Ballfield"," (-73.88241662705477,40.89340008971078)"
D,Near Ballfield,Father Macris Park,R,1,"D, Near Ballfield"," (-74.16293008368234,40.616731833807755)"
D,Out in Open,Tucker Place,B,1,"D, Out in Open"," (-73.9415014306686,40.583560543882776)"
B,In Playground,Central Park,M,1,"B, In Playground"," (-73.97700431056619,40.76891379053154)"
F High Low,,Weeksville Playground,B,2,"F High Low,"," (-73.91935908106463,40.677166677254846)"
C,"In Playground, Under Tree",Davidson Playground,X,1,"C, In Playground, Under Tree"," (-73.9077000237716,40.854981882377984)"
Indoor Drinking Fountain,Indoor,De Witt Clinton Park,M,1,"Indoor Drinking Fountain, Indoor"," (-73.99463599615788,40.76819786653902)"
E High Low,,Morningside Park,M,2,"E High Low,"," (-73.95560751573188,40.80978096689585)"
Bottle Filler Fountain,Under Tree,Linden Park,B,2,"Bottle Filler Fountain, Under Tree"," (-73.8870334732271,40.658570469840605)"
E High Low,In Playground,Rochdale Park,Q,2,"E High Low, In Playground"," (-73.77489893752461,40.67421173805837)"
E,Near Ballfield,John V. Lindsay East River Park,M,1,"E, Near Ballfield"," (-73.97375555702659,40.71829726337324)"
Trough,Out in Open,Rockaway Beach and Boardwalk,Q,1,"Trough, Out in Open"," (-73.78967419479636,40.58847924944053)"
C,"Under Tree, In Playground",Nathan Weidenbaum Playground,Q,1,"C, Under Tree, In Playground"," (-73.9020947334192,40.73820026475881)"
Trough,"In Playground, Out in Open",Coney Island Beach & Boardwalk,B,1,"Trough, In Playground, Out in Open"," (-73.98915271503766,40.57237058089692)"
A,Just Outside Playground,Bartlett Playground,B,1,"A, Just Outside Playground"," (-73.94639516021833,40.70085262355722)"
B,,Flushing Meadows Corona Park,Q,1,"B,"," (-73.8462373253339,40.7614586133955)"
Bottle Filler High Low,"Under Tree, Near Ballfield",Travers Park,Q,3,"Bottle Filler High Low, Under Tree, Near Ballfield"," (-73.88962627595966,40.75364366111662)"
Pedestal,Near Ballfield,Wards Island Park,M,1,"Pedestal, Near Ballfield"," (-73.93490670006025,40.785298477081284)"
F High Low,In Playground,Francis Lewis Park,Q,2,"F High Low, In Playground"," (-73.82450789456021,40.79627751116812)"
A,Out in Open,Horace Harding Playground,Q,1,"A, Out in Open"," (-73.86071457402264,40.733755891170865)"
F,,Jesse Owens Playground,B,1,"F,"," (-73.93248390828894,40.69098381690614)"
C,"In Playground, Out in Open",Sixteen Sycamores Playground,B,1,"C, In Playground, Out in Open"," (-73.98134396621283,40.6868671947568)"
E,"Under Tree, In Shade",Joyce Kilmer Park,X,1,"E, Under Tree, In Shade"," (-73.92302252095196,40.82846339770443)"
E High Low,Out in Open,Maria Hernandez Park,B,2,"E High Low, Out in Open"," (-73.92358982520767,40.70320778135175)"
Indoor Drinking Fountain,Indoor,Jackie Robinson Park,M,1,"Indoor Drinking Fountain, Indoor"," (-73.94244846811708,40.824269236153)"
D,"Under Tree, Just Outside Playground, Near Ballfield",Marcus Garvey Park,M,1,"D, Under Tree, Just Outside Playground, Near Ballfield"," (-73.94273578685265,40.80335229349781)"
A,In Playground,Queens Valley Playground,Q,1,"A, In Playground"," (-73.82385677132245,40.72177889007022)"
C,Just Outside Playground,Great Kills Park,R,1,"C, Just Outside Playground"," (-74.09753153082801,40.56412130830021)"
A,Near Ballfield,Grace Playground,B,1,"A, Near Ballfield"," (-73.89463248945107,40.671031363099154)"
C,In Playground,Red Hook Recreation Area,B,1,"C, In Playground"," (-74.00305700335534,40.67346119234598)"
A,"Under Tree, In Shade, In Playground",Merriam Playground,X,1,"A, Under Tree, In Shade, In Playground"," (-73.92641148704458,40.83893936525354)"
C,"Under Tree, In Playground",Kissena Corridor Park,Q,1,"C, Under Tree, In Playground"," (-73.8253086769887,40.74827633033988)"
E High Low,,De Matti Park,R,2,"E High Low,"," (-74.07372212417252,40.614929761978885)"
E,"Out in Open, Near Ballfield",Parade Ground,B,1,"E, Out in Open, Near Ballfield"," (-73.9681028076462,40.65098485996783)"
E,Out in Open,Coney Island Beach & Boardwalk,B,1,"E, Out in Open"," (-73.96413970575631,40.57475817616244)"
D,"Out in Open, In Playground",North Pacific Playground,B,1,"D, Out in Open, In Playground"," (-73.98221826106425,40.68527004792535)"
E,Out in Open,Highland Park,Q,1,"E, Out in Open"," (-73.88460072079081,40.6906203678397)"
B,In Playground,Louis Pasteur Park,Q,1,"B, In Playground"," (-73.73598359243552,40.762355061788035)"
E,Out in Open,Crotona Park,X,1,"E, Out in Open"," (-73.89500318525224,40.83659810260073)"
C,"Out in Open, Near Ballfield",Cunningham Park,Q,1,"C, Out in Open, Near Ballfield"," (-73.7705381967542,40.73671596998191)"
E,"Under Tree, In Shade",Central Park,M,1,"E, Under Tree, In Shade"," (-73.97495635726848,40.76545216759022)"
D,Out in Open,Barrett Triangle,R,1,"D, Out in Open"," (-74.07597009277293,40.641820234960676)"
A,Near Ballfield,Col. Young Playground,M,1,"A, Near Ballfield"," (-73.93462148469524,40.819394230562246)"
E,Under Tree,Bennett Park,M,1,"E, Under Tree"," (-73.93786584187019,40.85302900712743)"
C,"Out in Open, Just Outside Playground",Oxport Playground,B,1,"C, Out in Open, Just Outside Playground"," (-73.97613232325764,40.69761376539845)"
Indoor Drinking Fountain,Indoor,Red Hook Recreation Area,B,1,"Indoor Drinking Fountain, Indoor"," (-74.00404472482211,40.67238288416279)"
E and Dog,"Under Tree, In Shade",Central Park,M,2,"E and Dog, Under Tree, In Shade"," (-73.98077371741488,40.769091009589104)"
Bottle Filler Fountain,Indoor,Central Park,M,2,"Bottle Filler Fountain, Indoor"," (-73.96584352708415,40.78379340449473)"
A,"Near Ballfield, Out in Open",Bicentennial Veterans Memorial Park,X,1,"A, Near Ballfield, Out in Open"," (-73.81293678979263,40.82239678203251)"
CS Metal,Indoor,Faber Pool and Park,R,1,"CS Metal, Indoor"," (-74.13516707351441,40.64107491160682)"
E,Out in Open,St. John's Park,B,1,"E, Out in Open"," (-73.93378933718269,40.675050338402535)"
E High Low,Out in Open,Imagination Playground,M,2,"E High Low, Out in Open"," (-74.00396403532989,40.70618684945052)"
A,Near Ballfield,Juniper Valley Park,Q,1,"A, Near Ballfield"," (-73.87858758532593,40.72007202273073)"
C,Out in Open,Highbridge Park,M,1,"C, Out in Open"," (-73.93528949699622,40.84152386316266)"
C,"Just Outside Playground, Under Tree",Cypress Hills Playground,B,1,"C, Just Outside Playground, Under Tree"," (-73.8710272930767,40.67035843449229)"
Indoor Drinking Fountain,Indoor,Sheltering Arms Playground,M,1,"Indoor Drinking Fountain, Indoor"," (-73.95578068512073,40.81524186172078)"
E,"Under Tree, Near Ballfield",Riverside Park,M,1,"E, Under Tree, Near Ballfield"," (-73.97126196733218,40.8045897845464)"
D,Near Ballfield,"Phil ""Scooter"" Rizzuto Park",Q,1,"D, Near Ballfield"," (-73.82253267170309,40.69500142081641)"
C,Out_in_Open,Little Bay Park,Q,1,"C, Out_in_Open"," (-73.78876771592661,40.7901882771501)"
A,Near Ballfield,Dyker Beach Park,B,1,"A, Near Ballfield"," (-74.01292814493276,40.61228812293259)"
A,"Out in Open, In Playground",St. Mary's Park,X,1,"A, Out in Open, In Playground"," (-73.91030994309541,40.8103447729507)"
A,"In Playground, Out in Open",Colden Playground,Q,1,"A, In Playground, Out in Open"," (-73.82698030297398,40.7701250137583)"
E and Dog,"Under Tree, In Shade",Central Park,M,2,"E and Dog, Under Tree, In Shade"," (-73.97725119579776,40.76751547812005)"
CS Concrete,In Playground,Judge Moses Weinstein Playground,Q,1,"CS Concrete, In Playground"," (-73.820373910701,40.71863403565793)"
C,Under Tree,Latimer Playground,Q,1,"C, Under Tree"," (-73.78655753757077,40.69632626485385)"
C,Near Ballfield,Flushing Meadows Corona Park,Q,1,"C, Near Ballfield"," (-73.83323814210081,40.75097264110158)"
C,"In Playground, Near Ballfield, Under Tree",Wald Playground,M,1,"C, In Playground, Near Ballfield, Under Tree"," (-73.97704623108176,40.7194629561163)"
C,Under Tree,Flushing Meadows Corona Park,Q,1,"C, Under Tree"," (-73.86017931630734,40.76319647504644)"
A,,John J Carty Park,B,1,"A,"," (-74.02935444783427,40.61453826317988)"
D,"Out in Open, Just Outside Playground",Flushing Meadows Corona Park,Q,1,"D, Out in Open, Just Outside Playground"," (-73.84565644191818,40.73715595289344)"
Bottle Filler High Low,"Under Tree, Near Ballfield, In Playground",Thomas Jefferson Park,M,3,"Bottle Filler High Low, Under Tree, Near Ballfield, In Playground"," (-73.93481016715693,40.793556573262215)"
Bottle Filler High Low,Under Tree,Linden Park,B,3,"Bottle Filler High Low, Under Tree"," (-73.88760582665437,40.65864571223334)"
F High Low,,Sumner Playground,B,2,"F High Low,"," (-73.94283851571285,40.697019081524935)"
B,Out in Open,Westerleigh Park,R,1,"B, Out in Open"," (-74.13466278402355,40.61984365004868)"
E,"Just Outside Playground, Near Ballfield",Corporal John A. Seravalli Playground,M,1,"E, Just Outside Playground, Near Ballfield"," (-74.00455889935665,40.73926736001661)"
Indoor Drinking Fountain,Indoor,Clove Lakes Park,R,1,"Indoor Drinking Fountain, Indoor"," (-74.11847341440583,40.62038076184801)"
C,"In Playground, Under Tree",Colgate Close,X,1,"C, In Playground, Under Tree"," (-73.88138169461516,40.82358614797335)"
A,"Out in Open, Near Ballfield",Breukelen Ballfields,B,1,"A, Out in Open, Near Ballfield"," (-73.89390471086945,40.65427457609027)"
C,"Under Tree, In Playground",Hattie Carthan Playground,B,1,"C, Under Tree, In Playground"," (-73.94631373954073,40.68554241424365)"
C,In Playground,South Rochdale Playground,Q,1,"C, In Playground"," (-73.76879537824604,40.67392490529687)"
A,In Playground,Yak Playground,B,1,"A, In Playground"," (-73.9358060946973,40.59241270675929)"
E,"Near Ballfield, Under Tree",Riverside Park,M,1,"E, Near Ballfield, Under Tree"," (-73.97299680715486,40.8021625548635)"
C,In Playground,Mafera Park,Q,1,"C, In Playground"," (-73.89136558905106,40.7059250696131)"
A,Just Outside Playground,De Hostos Playground,B,1,"A, Just Outside Playground"," (-73.94950650646992,40.70255770477025)"
B,"Out in Open, Near Ballfield",Prospect Park,B,1,"B, Out in Open, Near Ballfield"," (-73.97284897663454,40.66165629242616)"
F High Low,"Under Tree, Near Ballfield, In Playground",James Weldon Johnson Playground,M,2,"F High Low, Under Tree, Near Ballfield, In Playground"," (-73.94189794111522,40.796976136319905)"
B,,Fort Tryon Park,M,1,"B,"," (-73.93310494871014,40.860843461647875)"
D,Out in Open,Junction Playground,Q,1,"D, Out in Open"," (-73.87222831186509,40.75455110114389)"
D,"Out in Open, Just Outside Playground",Hickman Playground,B,1,"D, Out in Open, Just Outside Playground"," (-73.9137137790489,40.62051237637975)"
Bottle Filler Fountain,Indoor,Van Cortlandt Park,X,2,"Bottle Filler Fountain, Indoor"," (-73.87272215812939,40.903452406705746)"
A,Out_in_Open,Astoria Park,Q,1,"A, Out_in_Open"," (-73.92195707260117,40.77895837969262)"
E and Dog,"Under Tree, Out in Open",Hillside Dog Park,B,2,"E and Dog, Under Tree, Out in Open"," (-73.99467572925765,40.70153941069177)"
E,Near Ballfield,John V. Lindsay East River Park,M,1,"E, Near Ballfield"," (-73.97273628820487,40.72237190775292)"
C,"Out in Open, Near Ballfield",Cunningham Park,Q,1,"C, Out in Open, Near Ballfield"," (-73.77366642828439,40.72957360892066)"
E,"In Playground, Out in Open",Parade Ground,B,1,"E, In Playground, Out in Open"," (-73.96541673845005,40.65159403294471)"
D,Out in Open,Chester Playground,B,1,"D, Out in Open"," (-73.91192490482236,40.66899065004464)"
Bottle Filler High Low,Out in Open,Silver Lake Park,R,3,"Bottle Filler High Low, Out in Open"," (-74.09941810707129,40.62810947340724)"
F High Low,In Playground,Ramon Aponte Park,M,2,"F High Low, In Playground"," (-73.98947506457853,40.76146197108478)"
D,Near Ballfield,Haggerty Park,Q,1,"D, Near Ballfield"," (-73.75774152997224,40.71327232856401)"
Indoor Drinking Fountain,Indoor,Brownsville Playground,B,1,"Indoor Drinking Fountain, Indoor"," (-73.90278394172616,40.65622334615274)"
Indoor Drinking Fountain,Indoor,Jackie Robinson Park,M,1,"Indoor Drinking Fountain, Indoor"," (-73.94244846811708,40.824269236153)"
D,Near Ballfield,Highland Park,Q,1,"D, Near Ballfield"," (-73.8834910330884,40.685184828980084)"
E,In Playground,Dimattina Playground,B,1,"E, In Playground"," (-74.0020711114061,40.68070265613923)"
D,"In Playground, Under Tree",Mosholu Parkway,X,1,"D, In Playground, Under Tree"," (-73.88501880432311,40.88191278956242)"
C,Near Ballfield,Dyker Beach Park,B,1,"C, Near Ballfield"," (-74.02024421388293,40.60651036980264)"
Bottle Filler Fountain,Indoor,St. John's Park,B,2,"Bottle Filler Fountain, Indoor"," (-73.93489094490425,40.673861865576676)"
A,"Near Ballfield, Out in Open",Cypress Hills Playground,B,1,"A, Near Ballfield, Out in Open"," (-73.87116570542081,40.670114390247555)"
Trough,Out in Open,Rockaway Beach and Boardwalk,Q,1,"Trough, Out in Open"," (-73.77520248645244,40.59143733095562)"
E,In Playground,Washington Park,B,1,"E, In Playground"," (-73.98589251515934,40.672485965649386)"
E High Low,Out in Open,Owen F. Dolen Park,X,2,"E High Low, Out in Open"," (-73.8426050906633,40.8406123578991)"
E,Under Tree,Central Park,M,1,"E, Under Tree"," (-73.97351140371211,40.76607389724959)"
A,Near Ballfield,Roy Wilkins Recreation Center,Q,1,"A, Near Ballfield"," (-73.77085785807303,40.684733695260675)"
A,In Playground,Dongan Playground,R,1,"A, In Playground"," (-74.08983708200229,40.58289470214011)"
E,"Out in Open, Under Tree",Coney Island Beach & Boardwalk,B,1,"E, Out in Open, Under Tree"," (-73.99916124377191,40.571806366472465)"
D,Near Ballfield,Bayswater Park,Q,1,"D, Near Ballfield"," (-73.76791162023117,40.59977821391453)"
D,In Playground,Flushing Meadows Corona Park,Q,1,"D, In Playground"," (-73.84957093565423,40.74119586451787)"
C,Out in Open,Flushing Meadows Corona Park,Q,1,"C, Out in Open"," (-73.84193910813754,40.74649549991331)"
C,In Playground,Manhattan Beach Park,B,1,"C, In Playground"," (-73.94047251379399,40.57753166184569)"
E,In Playground,Fort Totten Park,Q,1,"E, In Playground"," (-73.77809768598071,40.7941432783806)"
A,In Garden,Sara D. Roosevelt Park,M,1,"A, In Garden"," (-73.9921342948969,40.72084384774564)"
D,Just Outside Playground,Beach 17 Playground,Q,1,"D, Just Outside Playground"," (-73.75009849269144,40.594732603908085)"
Bottle Filler High Low,"Under Tree, Near Ballfield, In Playground",Samuel N. Bennerson 2nd Playground,M,3,"Bottle Filler High Low, Under Tree, Near Ballfield, In Playground"," (-73.9867294766024,40.77364401900481)"
C,,Van Cortlandt Park,X,1,"C,"," (-73.89090400013659,40.89250270576268)"
C,"Just Outside Playground, Under Tree",Williamsbridge Oval,X,1,"C, Just Outside Playground, Under Tree"," (-73.87796697498094,40.87769659428701)"
C,"Under Tree, In Playground",Herbert Von King Park,B,1,"C, Under Tree, In Playground"," (-73.94596416185522,40.68965453633786)"
E,"Under Tree, In Shade",Central Park,M,1,"E, Under Tree, In Shade"," (-73.96675705083153,40.77380009005515)"
A,"Under Tree, Near Ballfield, In Playground",Watson Gleason Playground,X,1,"A, Under Tree, Near Ballfield, In Playground"," (-73.86878074882196,40.82780391649678)"
A,"Under Tree, In Shade, In Playground",Rienzi Playground,X,1,"A, Under Tree, In Shade, In Playground"," (-73.85881293857953,40.887769343918976)"
A,In Playground,Auburndale Playground,Q,1,"A, In Playground"," (-73.79441354558158,40.76591332588189)"
A,Out in Open,Bayswater Park,Q,1,"A, Out in Open"," (-73.76772663415151,40.598548178001366)"
A,In Playground,Highland Park,Q,1,"A, In Playground"," (-73.88596859185687,40.6839117453931)"
A,Near Ballfield,Betsy Head Park,B,1,"A, Near Ballfield"," (-73.9132083046943,40.662554854538335)"
